feature,shap_value,feature_value
watch_time_per_view,235.4776499249309,1.1121527996785077
watch_time_minutes,-172.78999774360653,1.0966176351225303
engagement_rate,9.563824343305997,0.8680374979422775
views,4.530550931230229,0.6061307547435101
likes_missing_flag,-1.6301243992592027,-0.2294157338705618
likes,-0.35618680384565443,0.8832270892016235
comments_missing_flag,-0.2597072470248841,-0.2294157338705618
video_length_minutes,0.17230162128630266,0.8085181191262225
watch_time_minutes_missing_flag,0.049682593677959096,-0.2294157338705618
length_ratio,-0.042118220777298404,-0.1468372020709181
category_Education,0.03205213630244296,1.0
device_Desktop,-0.031130693382411985,0.0
device_TV,0.026252320411447566,0.0
category_Gaming,0.025267567804567674,0.0
device_Tablet,0.024025534764385664,1.0
comments,-0.021877899165572826,-0.097774990507323
category_Entertainment,-0.01331075301540516,0.0
device_Mobile,0.01091622487788999,0.0
category_Lifestyle,0.005738467316212689,0.0
category_Tech,-0.0049834435551084294,0.0
subscribers,-0.004022993187298853,0.0351304651018114
country_freq,-0.001553563312851335,-0.4859121172012265
category_Music,-0.0008632237737605024,0.0
subscribers_missing_flag,-0.0,0.0
